CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
canton;Hilly Farmland;;;;;;;;x
annecy;Deciduous Forest Mountains;;;;;;;;x
kassel;Hilly Farmland;;;;;;;;x
nagasaki;Hilly Farmland;;;;;;;;x
koblenz;Forested Farmland;;;;;;;;x
rouen;Good Farmland;;;;;;;;x
lubeck;Good Farmland;;;;;;;;x
pozan;Good Farmland;;;;;;;;x
braunschweig;Forested Farmland;;;;;;;;x
linz;Hilly Farmland;;;;;;;;x
catania;Hilly Farmland;;;;;;;;x
chemnitz;Deciduous Forest Mountains;;;;;;;;x
stjohn;Conifer Forest;;;;;;;;x
berlin;Forested Farmland;;;;;;;;x
paris;Good Farmland;;;;;;;;x
london;Marginal Farmland;;;;;;;;x
stpetersburg;Forested Farmland;;;;;;;;x
vienna;Good Farmland;;;;;;;;x
newyork;Forested Farmland;;;;;;;;x
rome;Hilly Farmland;;;;;;;;x
madrid;Hilly Farmland;;;;;;;;x
stockholm;Forested Farmland;;;;;;;;x
istanbul;Forested Farmland;;;;;;;;x
warsaw;Marginal Farmland;;;;;;;;x
athens;Hilly Farmland;;;;;;;;x
lisbon;Good Farmland;;;;;;;;x
amsterdam;Good Farmland;;;;;;;;x
brussels;Good Farmland;;;;;;;;x
copenhagen;Good Farmland;;;;;;;;x
oslo;Hilly Farmland;;;;;;;;x
helsinki;Forested Farmland;;;;;;;;x
munich;Hilly Farmland;;;;;;;;x
hanover;Good Farmland;;;;;;;;x
dublin;Good Farmland;;;;;;;;x
belgrade;Good Farmland;;;;;;;;x
turin;Floodplain Farmland;;;;;;;;x
naples;Good Farmland;;;;;;;;x
bern;Good Farmland;;;;;;;;x
pest;Good Farmland;;;;;;;;x
bukarest;Good Farmland;;;;;;;;x
cairo;Floodplain Farmland;;;;;;;;x
prague;Good Farmland;;;;;;;;x
cologne;Good Farmland;;;;;;;;x
mexicocity;Hilly Farmland;;;;;;;;x
barcelona;Deciduous Forest Hills;;;;;;;;x
edinburgh;Hilly Farmland;;;;;;;;x
edo;Good Farmland;;;;;;;;x
hanseong;Hilly Farmland;;;;;;;;x
peking;Hilly Farmland;;;;;;;;x
shanghai;Floodplain Farmland;;;;;;;;x
hongkong;Seasonal Jungle Hills;;;;;;;;x
macao;Marginal Farmland;;;;;;;;x
kiev;Forested Farmland;;;;;;;;x
riga;Forested Farmland;;;;;;;;x
moscow;Forested Farmland;;;;;;;;x
#minsk;Farmlands;;;;;;;;x
lyon;Hilly Farmland;;;;;;;;x
dc;Forested Farmland;;;;;;;;x
chicago;Forested Farmland;;;;;;;;x
sanfrancisco;Hilly Farmland;;;;;;;;x
hamburg;Marginal Farmland;;;;;;;;x
dresden;Hilly Farmland;;;;;;;;x
boston;Marginal Farmland;;;;;;;;x
sofia;Hilly Farmland;;;;;;;;x
tehran;Hilly Farmland;;;;;;;;x
rennes;Good Farmland;;;;;;;;x
marseille;Marginal Farmland;;;;;;;;x
bordeaux;Forested Farmland;;;;;;;;x
toulouse;Good Farmland;;;;;;;;x
bilbao;Deciduous Forest Mountains;;;;;;;;x
milan;Floodplain Farmland;;;;;;;;x
luxemburg;Forested Farmland;;;;;;;;x
venice;Good Farmland;;;;;;;;x
zagreb;Forested Farmland Hills;;;;;;;;x
#salonika;Grassland Hills;;;;;;;;x
ankara;Hills;;;;;;;;x
tblisi;Hills;;;;;;;;x
erivan;Deciduous Forest Mountains;;;;;;;;x
baku;Hills;;;;;;;;x
jerusalem;Hilly Grassland;;;;;;;;x
baghdad;Floodplain Farmland;;;;;;;;x
damascus;Hilly Farmland;;;;;;;;x
lvov;Forested Farmland;;;;;;;;x
krakow;Good Farmland;;;;;;;;x
karlsruhe;Hilly Farmland;;;;;;;;x
stuttgart;Hilly Farmland;;;;;;;;x
konigsberg;Marginal Farmland;;;;;;;;x
dusseldorf;Forested Farmland;;;;;;;;x
dortmund;Forested Farmland;;;;;;;;x
magdeburg;Good Farmland;;;;;;;;x
kiel;Marginal Farmland;;;;;;;;x
stettin;Marginal Farmland;;;;;;;;x
frankfurt;Hilly Farmland;;;;;;;;x
nuremberg;Good Farmland;;;;;;;;x
leipzig;Good Farmland;;;;;;;;x
breslau;Good Farmland;;;;;;;;x
seville;Marginal Farmland;;;;;;;;x
fez;Hilly Grassland;;;;;;;;x
gibraltar;The Rock;;;;;;;;x
ceuta;Mountain Grassland;;;;;;;;x
#melilla;Urban;;;;;;;;x
tangier;Hilly Farmland;;;;;;;;x
algiers;Forested Farmland;;;;;;;;x
zurich;Hilly Farmland;;;;;;;;x
strasburg;Forested Farmland;;;;;;;;x
liverpool;Marginal Farmland;;;;;;;;x
manchester;Good Farmland;;;;;;;;x
cardiff;Hilly Farmland;;;;;;;;x
birmingham;Good Farmland;;;;;;;;x
glasgow;Marginal Farmland;;;;;;;;x
southampton;Marginal Farmland;;;;;;;;x
newcastle;Marginal Farmland;;;;;;;;x
sheffield;Hilly Farmland;;;;;;;;x
leeds;Hilly Farmland;;;;;;;;x
bristol;Good Farmland;;;;;;;;x
belfast;Good Farmland;;;;;;;;x
goteborg;Deciduous Forest Hills;;;;;;;;x
vilnius;Forested Farmland;;;;;;;;x
reval;Forested Farmland;;;;;;;;x
montreal;Good Farmland;;;;;;;;x
ottawa;Forested Farmland;;;;;;;;x
vancouver;Boreal Forest Mountains;;;;;;;;x
losangeles;Dry Forest Hills;;;;;;;;x
atlanta;Hilly Farmland;;;;;;;;x
philadelphia;Good Farmland;;;;;;;;x
cleveland;Forested Farmland;;;;;;;;x
detroit;Forested Farmland;;;;;;;;x
pittsburgh;Forested Farmland;;;;;;;;x
richmond;Good Farmland;;;;;;;;x
neworleans;Marsh;;;;;;;;x
austin;Dry Grassland;;;;;;;;x
caen;Marginal Farmland;;;;;;;;x
lille;Good Farmland;;;;;;;;x
toronto;Good Farmland;;;;;;;;x
bogota;Jungle Mountains;;;;;;;;x
caracas;Good Farmland;;;;;;;;x
rio;Hilly Farmland;;;;;;;;x
saopaulo;Good Farmland;;;;;;;;x
montevideo;Good Farmland;;;;;;;;x
buenosaires;Marginal Farmland;;;;;;;;x
santiago;Hilly Farmland;;;;;;;;x
#asuncion;Urban;;;;;;;;x
#lima;Grassland Hills;;;;;;;;x
quito;Jungle Mountains ;;;;;;;;x
#guantanamo;Montane Grassland;;;;;;;;x
lapaz;Dry Forest Mountains;;;;;;;;x
havana;Hilly Farmland;;;;;;;;x
capetown;Good Farmland;;;;;;;;x
zanzibar;Seasonal Jungle;;;;;;;;x
calcutta;Floodplain Farmland;;;;;;;;x
pondicherry;Good Farmland;;;;;;;;x
bombay;Good Farmland;;;;;;;;x
delhi;Hilly Farmland;;;;;;;;x
madras;Hilly Farmland;;;;;;;;x
goa;Jungle Farmland;;;;;;;;x
lahore;Floodplain Farmland;;;;;;;;x
bangkok;Floodplain Farmland;;;;;;;;x
saigon;Good Farmland;;;;;;;;x
hue;Jungle Farmland;;;;;;;;x
singapore;Jungle Farmland;;;;;;;;x
batavia;Good Farmland;;;;;;;;x
sydney;Forested Farmland;;;;;;;;x
melbourne;Forested Farmland;;;;;;;;x
perth;Forested Farmland;;;;;;;;x
auckland;Deciduous Forest Hills;;;;;;;;x
manila;Jungle Farmland;;;;;;;;x
#kwangchowan;Grassland;;;;;;;;x
hainan;Seasonal Jungle Hills;;;;;;;;x
ningbo;Hilly Farmland;;;;;;;;x
qingdao;Deciduous Forest Hills;;;;;;;;x
weihaiwei;Deciduous Forest Hills;;;;;;;;x
oldtianjin;Marginal Farmland;;;;;;;;x
portarthur;Hilly Farmland;;;;;;;;x
kyoto;Deciduous Forest Hills;;;;;;;;x
tashkent;Hilly Farmland;;;;;;;;x
samarkand;Dry Grassland;;;;;;;;x
isfahan;Hilly Farmland;;;;;;;;x
alexandria;Good Farmland;;;;;;;;x
tirana;Deciduous Forest Mountains;;;;;;;;x
ljubljana;Deciduous Forest Hills;;;;;;;;x
bratislava;Hilly Farmland;;;;;;;;x
#cluj;Urban;;;;;;;;x
#cetinje;Urban;;;;;;;;x
malta;Hilly Farmland;;;;;;;;x
tunis;Marginal Farmland;;;;;;;;x
florence;Hilly Farmland;;;;;;;;x
danzig;Good Farmland;;;;;;;;x
nanjing;Floodplain Farmland;;;;;;;;x
mukden;Deciduous Forest Hills;;;;;;;;x
yokohama;Good Farmland;;;;;;;;x
kobe;Deciduous Forest Hills;;;;;;;;x
osaka;Good Farmland;;;;;;;;x
#wuchang;Urban;;;;;;;;x
xian;Hilly Farmland;;;;;;;;x
pyongyang;Deciduous Forest Hills;;;;;;;;x
pusan;Hilly Farmland;;;;;;;;x
mecca;Desert Hills;;;;;;;;x
aden;Semi Desert Hills;;;;;;;;x
#muscat;Urban;;;;;;;;x
monaco;Deciduous Forest Mountains;;;;;;;;x
lodz;Forested Farmland;;;;;;;;x
genoa;Deciduous Forest Hills;;;;;;;;x
odessa;Marginal Farmland;;;;;;;;x
rostov;Dry Grassland;;;;;;;;x
vladivostok;Conifer Forest Hills;;;;;;;;x
sevastopol;Deciduous Forest Hills;;;;;;;;x
nikolaev;Dry Grassland;;;;;;;;x
kerch;Dry Grassland;;;;;;;;x
kharkov;Dry Grassland;;;;;;;;x
saratov;Temperate Grassland;;;;;;;;x
#chisinau;Urban;;;;;;;;x
kazan;Conifer Forest;;;;;;;;x
antwerp;Marginal Farmland;;;;;;;;x
ekaterinburg;Boreal Forest Hills;;;;;;;;x
irkutsk;Boreal Forest Hills;;;;;;;;x
omsk;Boreal Forest;;;;;;;;x
sarajevo;Deciduous Forest Mountains;;;;;;;;x
timbuktu;Semi-Desert;;;;;;;;x
palermo;Hilly Farmland;;;;;;;;x
lhasa;Semi-Desert Mountains;;;;;;;;x
#xining;Urban;;;;;;;;x
kashgar;Desert Mountains;;;;;;;;x
agra;Floodplain Farmland;;;;;;;;x
katmandu;Conifer Forest Mountains;;;;;;;;x
colombo;Jungle Farmland;;;;;;;;x
gonder;Dry Forest Hills;;;;;;;;x
capecoast;Jungle Farmland;;;;;;;;x
grandbassam;Jungle;;;;;;;;x
monrovia;Jungle Farmland;;;;;;;;x
stlouis;Deciduous Forest;;;;;;;;x
#bissau;Grassland;;;;;;;;x
#lagos;Grassland;;;;;;;;x
suez;Semi-Desert;;;;;;;;x
valencia;Dry Forest Hills;;;;;;;;x
rotterdam;Good Farmland;;;;;;;;x
hyderabad;Dry Grassland;;;;;;;;x
nagpur;Dry Forest Hills;;;;;;;;x
jaipur;Hilly Farmland;;;;;;;;x
karachi;Floodplain Farmland;;;;;;;;x
hanoi;Good Farmland;;;;;;;;x
dunkirk;Good Farmland;;;;;;;;x
brest;Marginal Farmland;;;;;;;;x
toulon;Deciduous Forest Hills;;;;;;;;x
larochelle;Good Farmland;;;;;;;;x
trieste;Deciduous Forest Hills;;;;;;;;x
pola;Good Farmland;;;;;;;;x
wilhelmshaven;Marginal Farmland;;;;;;;;x
nice;Deciduous Forest Mountains;;;;;;;;x
quebec;Hilly Farmland;;;;;;;;x
#fort_william;Urban;;;;;;;;x
panama;Jungle Hills;;;;;;;;x
tripoli;Dry Grassland;;;;;;;;x
essen;Forested Farmland;;;;;;;;x
zadar;Marginal Farmland;;;;;;;;x
dubrovnik;Dry Forest Hills;;;;;;;;x
plymouth;Marginal Farmland;;;;;;;;x
#portsmouth;Farmlands;;;;;;;;x
liege;Good Farmland;;;;;;;;x
namur;Forested Farmland;;;;;;;;x